AÑO,METAL,UDM,ETAPA,PROCESO,ESTRATO,TITULAR,UNIDAD,REGIÓN,PROVINCIA,DISTRITO,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
2012,Oro,g FINOS,Concentración,Lixiviación,Régimen General,COMPAÑIA MINERA SAN SIMON S.A.,LA VIRGEN,La Libertad,Santiago De Chuco,Cachicadan,61980.40498,37322.20099,48479.84451,28836.83535,29860.91563,36457.72707,146995.1007,63018.7085,53288.68726,11772.44145,56804.63254,70767.86486
2012,Oro,g FINOS,Concentración,Gravimetría,Pequeño Productor Minero,COMUNIDAD AURIFERA RELAVE S.A.,FE Y ALEGRIA,Ayacucho,Parinacochas,Pullo,2559.7195,1628.1855,1119.44,1321.339,4058.9695,422.7885,1963.018,2829.5845,2622.688,2242.878,1636.1815,1796.1015
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,COMUNIDAD CAMPESINA DE UNTUCA,SAN MIGUEL DE UNTUCA,Puno,Sandia,Quiaca,0,0,0,0,0,3404.7,2700,1008,900,2160,1396.8,0
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,CONCHA HUARHUA JESUS MAMERTO,MARIO DOS,Madre De Dios,Tambopata,Laberinto,0,0,0,0,0,0,796.865,410.745,343.765,133.96,251.175,270.875
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,CONCORDE MINERATION E.I.R.L.,SAN ISIDRO CH,Madre De Dios,Tambopata,Tambopata,0,0,0,0,0,0,117.6,115.64,0,0,0,0
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,CONCORDE MINERATION E.I.R.L.,SAN ISIDRO,Madre De Dios,Tambopata,Tambopata,0,0,0,0,79.38,0,0,0,0,97.02,0,0
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,CONDO MASCA NESTOR ALEJANDRO,FEC CINCO,Madre De Dios,Tambopata,Laberinto,0,0,0,288.12,196.98,259.7,273.42,266.56,72.52,71.54,46.06,0
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,CONDO MASCA NESTOR ALEJANDRO,ST LABERINTO,Madre De Dios,Tambopata,Laberinto,0,0,0,0,0,153.86,232.26,226.38,100.94,73.5,67.62,0
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,CONDORI CRUZ VICTORIA,SALTUR VIII,Madre De Dios,Tambopata,Inambari,0,0,0,0,199.82,103.79,270.63,164.9,0,0,0,0
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,CONDORI CRUZ VICTORIA,SALTUR VII,Madre De Dios,Tambopata,Inambari,0,0,32.98,500.52,0,0,0,0,0,0,0,0
2012,Oro,g FINOS,Concentración,Gravimetría,Régimen General,CONDORI CRUZ VICTORIA,SALTUR V,Madre De Dios,Tambopata,Laberinto,0,0,0,0,0,0,0,0,148.41,171.69,0,0
