Oficina de Control Migratorio,País,Año,Mes,Valor
Otras Oficinas Migratorias,CAMERUN,2021,1,0
Otras Oficinas Migratorias,CHAD,2021,1,0
Otras Oficinas Migratorias,COMORAS (ISL),2021,1,0
Otras Oficinas Migratorias,CONGO,2021,1,0
Otras Oficinas Migratorias,COSTA MARFIL,2021,1,0
Aeropuerto Internacional Jorge Chávez,MEXICO,2021,5,1365
Aeropuerto Internacional Jorge Chávez,MEXICO,2021,11,3536
Aeropuerto Internacional Jorge Chávez,MEXICO,2021,10,3059
Aeropuerto Internacional Jorge Chávez,MEXICO,2021,9,3416
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,4,6434
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,8,8508
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,12,5708
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,1,2013
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,2,2110
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,7,8668
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,6,7393
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,3,3766
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,5,5227
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,11,7783
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,10,8814
Aeropuerto Internacional Jorge Chávez,MEXICO,2022,9,8892
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,4,5711
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,8,8041
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,12,7470
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,1,3416
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,2,2749
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,7,7847
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,6,6171
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,3,4454
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,5,5692
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,11,7977
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,10,7524
Aeropuerto Internacional Jorge Chávez,MEXICO,2023,9,7550
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,4,7964
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,8,9357
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,12,7591
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,1,5305
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,2,4788
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,7,9897
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,6,8456
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,3,8493
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,5,8958
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,11,8334
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,10,9170
Aeropuerto Internacional Jorge Chávez,MEXICO,2024,9,9871
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,4,10055
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,8,
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,12,
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,1,4967
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,2,5168
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,7,
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,6,9042
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,3,7229
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,5,9466
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,11,
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,10,
Aeropuerto Internacional Jorge Chávez,MEXICO,2025,9,
Desaguadero,MEXICO,2019,4,77
Desaguadero,MEXICO,2019,8,52
Desaguadero,MEXICO,2019,12,79
Desaguadero,MEXICO,2019,1,78
Desaguadero,MEXICO,2019,2,90
Desaguadero,MEXICO,2019,7,163
Desaguadero,MEXICO,2019,6,63
Desaguadero,MEXICO,2019,3,66
Desaguadero,MEXICO,2019,5,68
Desaguadero,MEXICO,2019,11,15
Desaguadero,MEXICO,2019,10,56
Desaguadero,MEXICO,2019,9,72
Kasani,MEXICO,2019,4,47
Kasani,MEXICO,2019,8,31
Kasani,MEXICO,2019,12,34
Kasani,MEXICO,2019,1,47
Kasani,MEXICO,2019,2,22
Kasani,MEXICO,2019,7,52
Kasani,MEXICO,2019,6,35
Kasani,MEXICO,2019,3,28
Kasani,MEXICO,2019,5,24
Kasani,MEXICO,2019,11,13
Kasani,MEXICO,2019,10,32
Kasani,MEXICO,2019,9,30
Desaguadero,MEXICO,2020,4,0
Desaguadero,MEXICO,2020,8,0
Desaguadero,MEXICO,2020,12,0
Desaguadero,MEXICO,2020,1,67
Otras Oficinas Migratorias,GROENLANDIA,2025,10,
Otras Oficinas Migratorias,ISLANDIA,2025,10,
Otras Oficinas Migratorias,LETONIA,2025,10,
Otras Oficinas Migratorias,LIECHTENSTEIN,2025,10,
Otras Oficinas Migratorias,MALTA,2025,10,
Otras Oficinas Migratorias,MONACO,2025,10,
Otras Oficinas Migratorias,R.F.YUGOSLAVIA,2025,10,
Otras Oficinas Migratorias,REP.MOLDOVA,2025,10,
Otras Oficinas Migratorias,SAN MARINO,2025,10,
Otras Oficinas Migratorias,VATICANO,2025,10,
Otras Oficinas Migratorias,RUMANIA,2025,10,
Otras Oficinas Migratorias,UCRANIA,2025,10,
Otras Oficinas Migratorias,SUECIA,2025,10,
Otras Oficinas Migratorias,SUIZA,2025,10,
